cal,d14c,d14csig,paper_ref,tree_ref
430,12,2.8,28,1
431,6.6,3.4,28,1
432,11.7,2.9,28,1
435,10.2,1.9,28,1
436,8.7,2.8,28,1
437,15.8,2.5,28,1
438,15.3,2.9,28,1
439,9.2,2.9,28,1
440,11.6,2.4,28,1
441,10.2,2,28,1
444,5,3.5,28,1
445,12.1,2.4,28,1
446,9.4,3.1,28,1
447,10.4,2,28,1
448,15.7,3.3,28,1
450,7,3.5,28,1
451,11.3,3,28,1
452,11.7,2.6,28,1
453,13.1,1.9,28,1
455,15.8,2.9,28,1
457,10.5,3.3,28,1
458,7.3,2.4,28,1
460,9.1,2.5,28,1
461,4.5,4.1,28,1
464,10,2.4,28,1
465,12.6,2.3,28,1
466,9.7,2.4,28,1
467,13.4,2.5,28,1
468,17.9,3.5,28,1
469,7.7,2.8,28,1
470,13.1,2.8,28,1
471,11.9,2,28,1
472,8.7,3,28,1
473,14,3.3,28,1
474,13.7,2.9,28,1
475,11,2.5,28,1
479,14.6,2.8,28,1
480,13.8,3.8,28,1
481,8.6,3.3,28,1
482,11.9,2.5,28,1
483,7.5,1.9,28,1
484,8.7,3.1,28,1
485,7.3,2.4,28,1
487,11.9,2.4,28,1
488,12.2,2.4,28,1
489,11.3,2,28,1
490,13.1,2.5,28,1
491,9.9,3.3,28,1
493,8,2.4,28,1
494,10.4,3,28,1
495,8,2.4,28,1
496,7.7,2.3,28,1
497,5.2,2.5,28,1
498,1.4,3.5,28,1
499,8.7,3.9,28,1
500,6.9,2.4,28,1
501,8.2,2,28,1
502,6.7,3.4,28,1
503,2,3.4,28,1
504,-3.6,2.7,28,1
505,4.6,3.8,28,1
506,7.1,2.3,28,1
507,4.3,2,28,1
508,2.2,2.5,28,1
509,5.3,2.5,28,1
510,6.8,2.6,28,1
512,6.2,2.5,28,1
513,4.3,1.9,28,1
514,4.4,2.4,28,1
515,9.9,2.9,28,1
516,6.8,3.5,28,1
517,1.4,2.5,28,1
518,2.8,2.4,28,1
372,2.1,1.9,28,2
373,0.9,3,28,2
377,4.7,2.5,28,2
379,2.4,2,28,2
380,6.9,1.4,28,2
381,6.6,2.5,28,2
382,6,1.3,28,2
384,8.6,1.6,28,2
385,8.1,2.8,28,2
387,4.1,2.4,28,2
388,5.6,1.4,28,2
389,8,1.8,28,2
390,2.9,1.7,28,2
392,11.4,1.5,28,2
393,10.5,2.8,28,2
394,8.4,1.9,28,2
395,5.8,2.6,28,2
397,5.7,2.6,28,2
398,7.8,1.4,28,2
399,15,2.9,28,2
400,8.7,1.3,28,2
401,16,2,28,2
402,13.1,1.9,28,2
403,13.2,2.3,28,2
405,6.9,2.6,28,2
406,7.8,1.4,28,2
407,8.1,2.5,28,2
408,13,1.6,28,2
410,12.8,2.5,28,2
411,13.2,2.4,28,2
412,9,1.4,28,2
413,14.2,2.7,28,2
414,9.8,1.8,28,2
415,18.9,3.3,28,2
416,15.7,1.6,28,2
417,14.7,2.4,28,2
418,17.1,1.5,28,2
419,8.4,3.1,28,2
420,11.4,1.4,28,2
421,13,2.1,28,2
422,17.1,1.4,28,2
423,12.5,1.4,28,2
424,7.2,1.4,28,2
425,10.9,2.3,28,2
426,7.6,2.6,28,2
427,8.2,2.1,28,2
428,8.9,2.8,28,2
430,12.3,2.3,28,2
431,8.9,2.4,28,2
432,9.1,3,28,2
433,8.8,3,28,2
434,6.8,2.5,28,2
435,9.7,2.4,28,2
436,12,2.1,28,2
437,11.5,2.3,28,2
438,8,2.4,28,2
439,8.1,3,28,2
440,6.7,2.5,28,2
441,13.4,1.9,28,2
442,11.2,1.8,28,2
443,10.4,2.6,28,2
444,11.4,1.9,28,2
445,6.7,2.3,28,2
446,11.7,2.9,28,2
447,13.8,1.9,28,2
448,9.5,1.9,28,2
449,6.5,1.5,28,2
450,12.3,1.6,28,2
451,6.4,2.8,28,2
452,11.3,2,28,2
453,11.4,2.1,28,2
454,8,1.8,28,2
455,4.3,2.1,28,2
456,10.9,1.8,28,2
457,5,2.4,28,2
458,7,2.9,28,2
459,6.4,2.3,28,2
460,10.1,1.6,28,2
461,11.6,2.3,28,2
462,5.7,2.1,28,2
463,5.5,2.3,28,2
464,11.1,1.4,28,2
465,9.4,1.4,28,2
466,12.1,2.1,28,2
467,5.5,2.3,28,2
468,11.2,1.5,28,2
469,11.7,1.4,28,2
470,9.1,2.1,28,2
471,8.5,2.4,28,2
472,7.2,2.1,28,2
473,10.3,2.1,28,2
474,6.3,2.1,28,2
475,4.4,2.3,28,2
476,8.1,2.9,28,2
477,6.1,2.1,28,2
478,6.1,2.1,28,2
479,7.6,2.4,28,2
480,3.4,2.1,28,2
481,12.1,0.9,28,2
482,11.8,2.8,28,2
483,10.2,2.3,28,2
484,0,2.6,28,2
485,8.2,2.3,28,2
486,7,2.1,28,2
487,7.3,2.3,28,2
