solver,accuracy,accuracy_var,time_mean,time_var
TRBDF2,3.6528868013207436,26.83580547509617,0.015609449810451932,3.583577543193112e-5
BS3,0.6535071716458974,1.1496201853383214,0.0038451088799370658,3.3544294966405794e-7
Tsit5,3.4183080464432565,48.015261426433455,0.02690821223788791,0.0036321316458693465
Rosenbrock23,0.19492171058085436,0.0896962031984225,0.0875855286916097,0.002360752135686539
ROS34PW1a,1.5683144054377616,11.316041359265345,0.07323434617784289,0.001769413775725247
QNDF1,1.1365346329399617,6.5936329675293655,0.1040792465209961,0.0024963961182891126
ABDF2,2.6549590875876015,28.13347314136358,0.03397745556301541,0.002967481573062654
ExplicitRK,3.252262465392333,29.509919616592413,0.005965789159138997,3.833312547385504e-7
DP5,0.7290398635764385,1.8745026708708576,0.02395055029127333,0.0027577338323744194
TanYam7,4.734697815173009,87.47355996655403,0.005761543909708659,5.199931081278919e-7
Vern6,3.1856949411733417,40.60672328819822,0.00486498408847385,2.1701329128771047e-7
